unique_paragraph_id,article_id,paragraph_id,level,role,image_file,original_image_id,width,height,image_x,image_y,text
2_1_5_Adv,1,5,Adv,paragraph,images/2_1_5_Adv__paragraph.png,-2320830707807864670,1824,1254,358.0,184.0,"It's estimated that more than 500,000 people have registered as mystery shoppers in the UK, but just 10% or less manage to get regular work each month and this has led to a dramatic reduction in compensation. “Where once you got a fee, reimbursement for your purchase and mileage, you now often just receive a contribution towards a purchase,” says Val, a 51-year-old former mystery shopper. Nowadays, mystery shopping companies mostly rely on the promise of freebies to incentivize their workers. “Marketforce shoppers typically get a couple of pounds for a visit as a token gesture for their time and effort,” says Boydell. “At the most, we'll pay £15 to £25 plus reimbursement for expenses, such as a meal for two or a hotel stay. We don't directly employ any shoppers so we don't have to pay them the minimum wage.”"
2_1_5_Adv,1,5,Adv,question,images/2_1_5_Adv__question.png,-5065213737510575017,1824,228,358.0,184.0,What is the typical amount Marketforce pays mystery shoppers for one store visit?
2_1_5_Adv,1,5,Adv,answer_a,images/2_1_5_Adv__answer_a.png,-6017202773475642421,700,570,,,10% of what they buy in the store
2_1_5_Adv,1,5,Adv,answer_b,images/2_1_5_Adv__answer_b.png,-1267496907365328201,700,570,,,It depends on how experienced the shopper is
2_1_5_Adv,1,5,Adv,answer_c,images/2_1_5_Adv__answer_c.png,-509954535107258863,700,570,,,£15 to £25
2_1_5_Adv,1,5,Adv,answer_d,images/2_1_5_Adv__answer_d.png,1295604543383260209,700,570,,,A few pounds
2_1_6_Ele,1,6,Ele,paragraph,images/2_1_6_Ele__paragraph.png,-7582407051795996721,1824,1254,358.0,184.0,"Hannah, a 41-year-old lawyer, has made nearly 500 visits for the Mystery Dining Company in her spare time without receiving pay or travel expenses. She has enjoyed £200 meals at Michelin-starred restaurants and overnight stays at expensive hotels. But, it can be hard work. Hannah says she spends two to four hours after each visit writing detailed reports on everything from the quality of the food to specific conversations with staff. And, she always needs to be able to name or describe the staff. She has to memorize all these details while eating her meal because she cannot openly write anything down."
2_1_6_Ele,1,6,Ele,question,images/2_1_6_Ele__question.png,-4107979914460832903,1824,228,358.0,184.0,Who does Hanna visit as part of her mystery shopping job?
2_1_6_Ele,1,6,Ele,answer_a,images/2_1_6_Ele__answer_a.png,-1505353414810795924,700,570,,,Retail stores
2_1_6_Ele,1,6,Ele,answer_b,images/2_1_6_Ele__answer_b.png,-3024765565968718230,700,570,,,Expensive restaurants and hotels
2_1_6_Ele,1,6,Ele,answer_c,images/2_1_6_Ele__answer_c.png,-8027832153000903479,700,570,,,The Mystery Dining Company
2_1_6_Ele,1,6,Ele,answer_d,images/2_1_6_Ele__answer_d.png,-1781877255805557334,700,570,,,Restaurant staff meetings
2_2_1_Adv,2,1,Adv,paragraph,images/2_2_1_Adv__paragraph.png,-3232072280268003091,1824,1254,358.0,184.0,"Robert Myslajek stops dead. Between two paw prints on a muddy mountain track, the scientist finds what he is looking for. “Droppings!” he enthuses. Wolf sightings are so rare that the sighting of their feces marks a good day, even for a seasoned tracker. But it is getting easier. There are now an estimated 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are – along with the brown bear, the lynx and the wolverine – Europe's last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are beating a path here to find out how Poland has saved this protected species, slandered even in fairy tales."
2_2_1_Adv,2,1,Adv,question,images/2_2_1_Adv__question.png,-7892098284984993009,1824,228,358.0,184.0,How does Myslajek react to what he sees between the two paw prints?
2_2_1_Adv,2,1,Adv,answer_a,images/2_2_1_Adv__answer_a.png,-4851957045177726464,700,570,,,He takes out his camera
2_2_1_Adv,2,1,Adv,answer_b,images/2_2_1_Adv__answer_b.png,-2682481282713205724,700,570,,,He says they are about to see a wolf
2_2_1_Adv,2,1,Adv,answer_c,images/2_2_1_Adv__answer_c.png,-6915043200744611514,700,570,,,He becomes excited
2_2_1_Adv,2,1,Adv,answer_d,images/2_2_1_Adv__answer_d.png,2318195376630073811,700,570,,,"He calls his British, German and Dutch colleagues"
2_2_2_Adv,2,2,Adv,paragraph,images/2_2_2_Adv__paragraph.png,-7395779212318225171,1824,1254,358.0,184.0,"The scientist, who is a familiar face on Polish television, says wolves are exceptional animals that are capable of moving up to 30km during a single hunt. “The Beskidy pack is a strong unit, eight or nine individuals. This year, we have recorded five cubs, two yearlings and two adults. We track them using motion-activated cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair reproduces, once a year. All pack members care for the young with solidarity and devotion.” Myslajek, the son of a shepherd, is puzzled by wolves' bad reputation. “Why does one speak of a 'lone-wolf gunman'? Why did we have to have Little Red Riding Hood, with its big bad wolf?” He is fascinated by these aloof canines who remained in the wild 33,000 years ago when others decided on a much more comfortable existence as domestic dogs."
2_2_2_Adv,2,2,Adv,question,images/2_2_2_Adv__question.png,-1291526573586963577,1824,228,358.0,184.0,What does Myslajek think of fairy tales such as Little Red Riding Hood?
2_2_2_Adv,2,2,Adv,answer_a,images/2_2_2_Adv__answer_a.png,-5403184143000255342,700,570,,,He thinks they accurately depict how pack wolves care for the young
2_2_2_Adv,2,2,Adv,answer_b,images/2_2_2_Adv__answer_b.png,-2549290451896400764,700,570,,,He disagrees with the image of wolves depicted in them
2_2_2_Adv,2,2,Adv,answer_c,images/2_2_2_Adv__answer_c.png,-1047218119062037504,700,570,,,He thinks people misunderstand them
2_2_2_Adv,2,2,Adv,answer_d,images/2_2_2_Adv__answer_d.png,-1574025277989663503,700,570,,,He thinks they are a fun way to teach children about wolves
2_2_3_Adv,2,3,Adv,paragraph,images/2_2_3_Adv__paragraph.png,-5794630973469841110,1824,1254,358.0,184.0,"Wolves are not pooches. Myslajek says only scientific arguments – the need to regenerate forests and control the wild animal population – can save Europe's wild carnivores, especially the unpopular wolf. “Natural predators balance the ecosystem. They keep herbivores in check, thus allowing trees to grow tall for birds to nest in.” The ban on wolf hunting in the western Carpathian mountains came into force in 1995 and nationwide in Poland in 1998. There are now resident packs in virtually all the country's major forests. The predators coexist with humans rather than being fenced off, as they are in African safari parks."
2_2_3_Adv,2,3,Adv,question,images/2_2_3_Adv__question.png,1592659410944570755,1824,228,358.0,184.0,Where was wolf-hunting banned in 1995?
2_2_3_Adv,2,3,Adv,answer_a,images/2_2_3_Adv__answer_a.png,-178529430638390510,700,570,,,Forests with no human population
2_2_3_Adv,2,3,Adv,answer_b,images/2_2_3_Adv__answer_b.png,2432102434177151822,700,570,,,The whole country of Poland
2_2_3_Adv,2,3,Adv,answer_c,images/2_2_3_Adv__answer_c.png,-2691282635905166959,700,570,,,The western Carpathian mountains
2_2_3_Adv,2,3,Adv,answer_d,images/2_2_3_Adv__answer_d.png,-2955602362757696844,700,570,,,Most of Poland's major forests
2_2_4_Ele,2,4,Ele,paragraph,images/2_2_4_Ele__paragraph.png,-6062877408565535279,1824,1254,358.0,184.0,The Polish government pays compensation to farmers when a wolf kills their farm animals. Myslajek tells farmers to put up electric fences. He also tells them to use two things that wolves find scary: strings of small red flags (to keep wolves away from sheep) and the Tatra Mountain Sheepdog.
2_2_4_Ele,2,4,Ele,question,images/2_2_4_Ele__question.png,-6489188813222606070,1824,228,358.0,184.0,What does the Polish government do when a wolf kills a farm animal?
2_2_4_Ele,2,4,Ele,answer_a,images/2_2_4_Ele__answer_a.png,-1676029290173403687,700,570,,,Provides Tatra Mountain Sheepdogs to guard the farm
2_2_4_Ele,2,4,Ele,answer_b,images/2_2_4_Ele__answer_b.png,-1244094198415902838,700,570,,,Compensates the farmer with resources for killing wolves
2_2_4_Ele,2,4,Ele,answer_c,images/2_2_4_Ele__answer_c.png,-1680940514189460897,700,570,,,Reduces the farm-owner's taxes
2_2_4_Ele,2,4,Ele,answer_d,images/2_2_4_Ele__answer_d.png,-50797964753196251,700,570,,,Provides money to the owner of the animal
2_2_5_Ele,2,5,Ele,paragraph,images/2_2_5_Ele__paragraph.png,-8848489094721232360,1824,1254,358.0,184.0,"Poland didn't have many big roads until recently and this has helped wolves. In 1989, when the communists left power, Poland had only one motorway. Major road projects began after Poland joined the European Union in 2004 and they now have to consider wild animals. The way people think about wolves has also changed. “For many years, hunting was a part of the culture in Poland. In 1975, there were fewer than 100 wolves in Poland.” Myslajek says that Polish wolves are much safer now but they are not completely safe. Packs go into neighboring countries – Russia, Lithuania and Belarus – where there is still hunting."
2_2_5_Ele,2,5,Ele,question,images/2_2_5_Ele__question.png,156033516702026982,1824,228,358.0,184.0,"Why does Myslajek mention Russia, Lithuania and Belarus?"
2_2_5_Ele,2,5,Ele,answer_a,images/2_2_5_Ele__answer_a.png,-5270415761999917444,700,570,,,Because wolves are safer there than in Poland
2_2_5_Ele,2,5,Ele,answer_b,images/2_2_5_Ele__answer_b.png,-2634762012378670784,700,570,,,Because Polish wolves cross the border to these countries
2_2_5_Ele,2,5,Ele,answer_c,images/2_2_5_Ele__answer_c.png,-7949487149813638398,700,570,,,Because they are learning from Poland how to protect wolves
2_2_5_Ele,2,5,Ele,answer_d,images/2_2_5_Ele__answer_d.png,-5367613640976751792,700,570,,,Because they have fewer roads than Poland has
2_2_6_Ele,2,6,Ele,paragraph,images/2_2_6_Ele__paragraph.png,-6232498014295884011,1824,1254,358.0,184.0,"He says Poland's new government doesn't like wolves. “The Environment Minister, Jan Szyszko, is a hunter. There are 120,000 hunters in Poland and they have a lot of influence. It's not easy to defend wolves. You can't say to the politicians that wolves are a big tourist attraction. Most tourists want to see the animals but wolves stay away from humans. They have a very strong sense of smell.”"
2_2_6_Ele,2,6,Ele,question,images/2_2_6_Ele__question.png,-7519470746734023838,1824,228,358.0,184.0,Who is Jan Szyszko?
2_2_6_Ele,2,6,Ele,answer_a,images/2_2_6_Ele__answer_a.png,-2975257526176332703,700,570,,,A minister in the new Polish government
2_2_6_Ele,2,6,Ele,answer_b,images/2_2_6_Ele__answer_b.png,-4308882206079800843,700,570,,,A tourist in Poland
2_2_6_Ele,2,6,Ele,answer_c,images/2_2_6_Ele__answer_c.png,-1903052077964390160,700,570,,,An activist who opposes hunting
2_2_6_Ele,2,6,Ele,answer_d,images/2_2_6_Ele__answer_d.png,-1206829071973899171,700,570,,,A Polish farm owner
